Name: 院线影视, URL: http://[2409:8087:7000:20:1000::22]:6060/000000001000/2000000004000000034/index.m3u8?channel-id=hnbblive&Contentid=2000000004000000034&livemode=1&stbId=3, Date: None, Resolution: None, Response Time: inf ms
Name: 江苏移动4K影视, URL: http://[2409:8087:2001:20:2800:0:df6e:eb04]/ott.mobaibox.com/PLTV/3/224/3221227579/index.m3u8, Date: None, Resolution: None, Response Time: inf ms
Name: TVBS亚洲, URL: http://38.64.72.148/hls/modn/list/4005/chunklist1.m3u8, Date: None, Resolution: None, Response Time: 130 ms
Name: TVBS亚洲, URL: http://38.64.72.148:80/hls/modn/list/4005/chunklist1.m3u8, Date: None, Resolution: None, Response Time: 130 ms
Name: TVBS亚洲, URL: http://38.64.72.148/hls/modn/list/4005/playlist.m3u8, Date: None, Resolution: None, Response Time: 130 ms
Name: TVBS亚洲, URL: http://38.64.72.148:80/hls/modn/list/4005/chunklist0.m3u8, Date: None, Resolution: None, Response Time: 130 ms
Name: TVBS亚洲, URL: http://38.64.72.148:80/hls/modn/list/4005/playlist.m3u8, Date: None, Resolution: None, Response Time: 130 ms
Name: TVBS新闻, URL: http://38.64.72.148/hls/modn/list/4006/chunklist0.m3u8, Date: None, Resolution: None, Response Time: inf ms
Name: TVBS新闻, URL: http://38.64.72.148/hls/modn/list/4006/chunklist1.m3u8, Date: None, Resolution: None, Response Time: inf ms
Name: TVBS新闻, URL: http://38.64.72.148:80/hls/modn/list/4006/chunklist0.m3u8, Date: None, Resolution: None, Response Time: inf ms
Name: TVBS新闻, URL: http://38.64.72.148:80/hls/modn/list/4006/chunklist1.m3u8, Date: None, Resolution: None, Response Time: inf ms
Name: TVBS新闻, URL: http://38.64.72.148/hls/modn/list/4006/playlist.m3u8, Date: None, Resolution: None, Response Time: inf ms
Name: 星河台, URL: http://113.117.74.12:8081/hls/135/index.m3u8, Date: None, Resolution: None, Response Time: inf ms
Name: 漳浦综合, URL: http://220.161.87.62:8090/hls/0/index.m3u8?zfud, Date: None, Resolution: None, Response Time: 520 ms
Name: 明珠台, URL: http://r.jdshipin.com/ZQ4kN, Date: None, Resolution: None, Response Time: inf ms
Name: 云霄综合, URL: http://live.zzyxxw.com:85/live/xwzh.m3u8?fujian, Date: None, Resolution: None, Response Time: 2796 ms
Name: 三明公共, URL: http://stream.smntv.cn/smtv2/sd/live.m3u8, Date: None, Resolution: None, Response Time: 2952 ms
Name: 三明公共频道, URL: http://stream.smntv.cn/smtv2/sd/live.m3u8?zfud, Date: None, Resolution: None, Response Time: 2960 ms
Name: 三明综合, URL: http://stream.smntv.cn/smtv1/sd/live.m3u8, Date: None, Resolution: None, Response Time: 2958 ms
Name: 龙岩综合, URL: http://live.lytv.net.cn/zhpwd/hd/live.m3u8, Date: None, Resolution: None, Response Time: inf ms
